Column Name,Missing Data Percentage
Date,0.0
End Time,0.0
Product,0.0
Volume,0.0
Temp Comp Metered Volume,0.10074570507200904
Status,0.0
Transaction Type,0.0
Category,4.373329014918773
Group,4.373329014918773
Description,4.373329014918773
Make,24.294196144257885
Model,4.530131062843832
Product cost,4.350127917460149
Peak Flow Rate,4.383294586981537
Average Flow Rate,4.549750782842398
Meter Location,0.0
Product Description,9.352533668840927
Tank Location,0.0
LOW FLOW (LPM),0.0
MED FLOW (LPM),0.0
HI FLOW (LPM),0.0
Flow Duration in Minutes,4.549750782842398
Duration in Minutes,0.0
